team,season,avg_age,avg_height,avg_weight,fg_per_game,fga_per_game,fg_pct,3p_per_game,3pa_per_game,3p_pct,2p_per_game,2pa_per_game,2p_pct,ft_per_game,fta_per_game,ft_pct,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
ATL,2023-24,26.2,6-6,211,43.0,92.5,.465,13.7,37.7,.364,29.3,54.8,.535,18.5,23.2,.797,12.5,32.2,44.7,26.6,7.5,4.5,13.5,18.6,118.3
ATL,2022-23,24.9,6-6,210,44.6,92.4,.483,10.8,30.5,.352,33.9,61.8,.548,18.5,22.6,.818,11.2,33.2,44.4,25.0,7.1,4.9,12.9,18.8,118.4
ATL,2021-22,26.1,6-6,211,41.5,88.3,.470,12.9,34.4,.374,28.6,53.9,.531,18.1,22.3,.812,10.0,33.9,44.0,24.6,7.2,4.2,11.9,18.7,113.9
ATL,2020-21,25.4,6-6,212,40.8,87.2,.468,12.4,33.4,.373,28.4,53.9,.526,19.7,24.2,.812,10.6,35.1,45.6,24.1,7.0,4.8,13.2,19.3,113.7
ATL,2019-20,24.1,6-6,213,40.6,90.6,.449,12.0,36.1,.333,28.6,54.5,.525,18.5,23.4,.790,9.9,33.4,43.3,24.0,7.8,5.1,16.2,23.1,111.8
ATL,2018-19,25.1,6-6,213,41.4,91.8,.451,13.0,37.0,.352,28.4,54.8,.518,17.6,23.4,.752,11.6,34.5,46.1,25.8,8.2,5.1,17.0,23.6,113.3
ATL,2017-18,25.4,6-6,212,38.2,85.5,.446,11.2,31.0,.360,27.0,54.5,.495,15.8,20.2,.785,9.1,32.8,41.9,23.7,7.8,4.2,15.6,19.6,103.4
ATL,2016-17,27.9,6-6,219,38.1,84.4,.451,8.9,26.1,.341,29.2,58.3,.501,18.1,24.9,.728,10.3,34.1,44.3,23.6,8.2,4.8,15.8,18.2,103.2
ATL,2015-16,28.2,6-6,217,38.6,84.4,.458,9.9,28.4,.350,28.7,56.1,.512,15.6,20.0,.783,8.3,33.8,42.1,25.6,9.1,5.9,15.0,19.1,102.8
ATL,2014-15,27.8,6-6,218,38.1,81.7,.466,10.0,26.2,.380,28.1,55.5,.506,16.5,21.2,.778,8.7,31.8,40.6,25.7,9.1,4.6,14.2,17.8,102.5
ATL,2013-14,27.6,6-6,220,37.3,81.6,.458,9.4,25.8,.363,28.0,55.8,.502,17.0,21.7,.781,8.7,31.3,40.0,24.9,8.3,4.0,15.3,19.2,101.0
ATL,2012-13,27.1,6-6,215,37.6,81.0,.464,8.6,23.2,.371,29.0,57.8,.501,14.1,19.7,.715,9.2,31.6,40.9,24.5,8.1,4.5,14.9,18.0,98.0
ATL,2011-12,27.9,6-7,215,36.8,81.0,.454,7.5,20.2,.370,29.3,60.9,.482,15.5,21.0,.740,9.9,31.3,41.2,22.4,8.1,4.6,14.0,17.8,96.6
ATL,2010-11,27.4,6-7,219,36.2,78.4,.462,6.1,17.4,.352,30.1,61.0,.494,16.4,21.1,.779,9.3,30.0,39.3,22.0,6.1,4.2,13.6,19.0,95.0
ATL,2009-10,26.5,6-7,219,38.8,82.9,.468,6.4,17.7,.360,32.4,65.2,.497,17.7,23.3,.759,11.8,29.9,41.7,21.8,7.2,5.0,12.0,19.9,101.7
ATL,2008-09,25.8,6-6,219,36.0,78.7,.458,7.3,19.9,.366,28.8,58.8,.490,18.7,25.4,.737,10.6,29.4,40.0,20.2,7.4,4.6,12.8,19.6,98.1
ATL,2007-08,24.2,6-7,220,36.3,79.9,.454,4.7,13.1,.356,31.6,66.8,.473,21.0,27.2,.772,12.3,29.9,42.2,22.0,7.3,5.5,14.9,20.4,98.2
ATL,2006-07,24.1,6-7,216,34.5,77.7,.444,4.2,12.7,.329,30.4,65.0,.467,20.5,26.9,.761,11.9,28.2,40.1,19.2,7.4,5.4,15.9,24.0,93.7
ATL,2005-06,22.7,6-7,221,35.9,79.2,.454,5.2,14.1,.367,30.8,65.1,.472,20.2,26.9,.750,13.0,27.2,40.3,19.8,7.2,4.8,15.7,25.0,97.2
ATL,2004-05,26.0,6-7,220,35.9,81.4,.441,3.7,11.9,.312,32.2,69.5,.463,17.3,24.3,.711,13.4,28.5,41.9,19.7,7.7,4.2,16.1,24.5,92.7
ATL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATL,2003-04,26.2,6-6,214,34.5,79.6,.433,5.1,15.2,.335,29.4,64.4,.456,18.7,24.1,.776,12.1,30.6,42.7,20.1,7.6,5.0,16.5,22.3,92.8
ATL,2002-03,27.2,6-6,215,34.9,78.5,.444,4.9,13.9,.352,30.0,64.5,.464,19.4,24.5,.793,11.4,31.2,42.6,20.5,7.5,5.8,16.7,21.7,94.1
ATL,2001-02,25.7,6-7,210,35.4,80.6,.439,5.2,14.6,.354,30.2,66.0,.458,18.1,23.7,.765,11.6,29.8,41.5,20.2,8.1,4.3,15.5,20.8,94.0
ATL,2000-01,26.1,6-6,211,35.1,81.3,.431,4.1,11.4,.357,31.0,69.9,.443,16.8,22.1,.759,12.5,30.4,42.9,19.0,7.7,4.7,16.7,22.7,91.0
