coach,performance_score
Q. Snyder,0.0074945056384390675
N. McMillan,0.009657106355811058
L. Pierce,0.004761140712038388
M. Budenholzer,0.009895442634112515
L. Drew,0.0049186678811377485
M. Woodson,0.004497907470075963
T. Stotts,0.008653049888507191
L. Kruger,0.005861220486923189
L. Wilkens,0.11183500632913704
J. Mazzulla,0.014086059675168629
I. Udoka,0.00766711307071431
B. Stevens,0.0056937455972731876
D. Rivers,0.011386334738161542
J. O'Brien,0.004945230873796041
R. Pitino,0.0028461185686826595
M. Carr,0.002170503360685708
C. Ford,0.1295673696673697
S. Clifford,0.0044599772395005795
J. Borrego,0.004060031469305161
M. Dunlap,0.0038114768047109154
P. Silas,0.002327457818877752
L. Brown,0.15177240802414782
S. Vincent,0.0033360782524188334
B. Bickerstaff,0.0027174690851273185
D. Cowens,0.009177450350732254
A. Bristow,0.4247857142857143
B. Donovan,0.007020962614815561
J. Boylen,0.0018044091938523052
F. Hoiberg,0.004435051565483686
T. Thibodeau,0.0055409423729005465
V. Del Negro,0.005877069019367048
S. Skiles,0.003813231394698406
B. Cartwright,0.0025964926728790807
T. Floyd,0.0024490791011739224
P. Jackson,0.2335318225705631
J. Bickerstaff,0.004344045522672884
J. Beilein,0.002975428469483442
T. Lue,0.012361560962789252
D. Blatt,0.00836704117802709
M. Brown,0.007907072392217607
B. Scott,0.0035494172034237865
J. Lucas,0.106077848977075
R. Wittman,0.004294947164067438
M. Fratello,0.17520947706117984
J. Kidd,0.006972106472703431
R. Carlisle,0.008953757470429887
A. Johnson,0.008256290915814752
D. Nelson,0.4373085052487416
J. Cleamons,0.0035831374454686833
D. Motta,0.002111744329589857
Q. Buckner,0.10621144781144781
M. Malone,0.009239420794884788
B. Shaw,0.0017348813209120803
G. Karl,0.32153050078492346
J. Bzdelik,0.005002077093106725
D. Issel,0.0704715227418948
B. Hanzlik,0.006262661449018588
M. Williams,0.009404876682130645
D. Casey,0.005558437927515452
S. Van Gundy,0.009530467921290805
M. Cheeks,0.004566510611815168
L. Frank,0.0030549915038387016
J. Kuester,0.0034507122439164277
M. Curry,0.0014197871222885506
F. Saunders,0.008649082859031682
G. Irvine,-0.001059913703568974
A. Gentry,0.00756461275847394
D. Collins,0.006564619109136518
D. Chaney,0.29180055616449474
S. Kerr,0.02258698238367556
M. Jackson,0.012115062088235467
K. Smart,0.007219787714300528
M. Montgomery,0.002157801145039093
E. Musselman,0.004173020810687743
P. Carlesimo,0.001980197580652874
R. Adelman,0.2717903567817213
S. Silas,0.0018470336771926736
M. D'Antoni,0.019674430511880982
K. McHale,0.0062987358656691975
J. Van Gundy,0.006996752617479569
R. Tomjanovich,0.1738925762849291
N. Bjorkgren,0.005051985037872166
F. Vogel,0.006032473608324984
I. Thomas,0.0027180930249293476
L. Bird,0.023998096780340174
M. Dunleavy,0.21875200790602328
B. Fitch,0.002560611140555699
B. Weiss,0.1789862371927589
D. Ham,0.008941123250126814
L. Walton,0.004152837885805901
D. Harris,0.010998986324333642
R. Pfund,0.011672256728778467
T. Jenkins,0.0030463899091869064
D. Fizdale,0.002217627542453063
D. Joerger,0.0051075476278857725
L. Hollins,0.0033861833065641123
M. Iavaroni,0.002629433687265221
H. Brown,0.004850457484562367
S. Lowe,0.15300069927492527
B. Hill,0.2333902597413467
B. Winters,0.07937644883297057
E. Spoelstra,0.010937614862804724
P. Riley,0.10708433172126207
K. Loughery,0.4988047619047619
A. Griffin,0.009903654085427692
L. Krystkowiak,0.0014042875616317257
T. Porter,0.013056621122107499
C. Finch,0.007841647430903606
R. Saunders,0.002038544715084255
S. Mitchell,0.012216110243797238
K. Rambis,0.0036960780139269314
B. Blair,0.016855371724616708
J. Vaughn,0.0025481127644000523
S. Nash,0.018995267088406726
K. Atkinson,0.003214591958149165
J. Calipari,0.003000453783510598
B. Beard,0.0015146553158060722
C. Daly,0.06626367521367522
W. Green,0.005273912762669668
J. Hornacek,0.0046123960697438205
D. Fisher,0.009624942373579335
M. Daigneault,0.008640325546046589
S. Brooks,0.011315735600467823
P. Westphal,0.13977743166554027
J. Mosley,0.0037828352939670816
J. Davis,0.0036482636387334924
N. Nurse,0.005607013235868943
B. Brown,0.003907116486419357
E. Jordan,0.0030738269339394336
R. Ayers,0.002016548452191704
F. Carter,0.031203680529996336
I. Kokoskov,0.005317419300321327
E. Watson,0.0023006219416890085
F. Johnson,0.0037784001070323495
D. Ainge,0.00606108881794955
C. Fitzsimmons,0.008448301407153008
C. Billups,0.002359914644822497
R. Theus,0.006759104689438762
G. St. Jean,0.17626989459815548
G. Popovich,0.01325377997539419
D. Rajakovic,0.0029193602527268344
J. Triano,0.005142533676306241
K. O'Neill,0.004027707200964724
B. Carter,0.0049841461689367405
D. Walker,0.04347281074045781
W. Hardy,0.010251042597033931
T. Corbin,0.003091513160277896
J. Sloan,0.3754748628530832
W. Unseld,0.13659957460839814
L. Hamilton,0.0020085942598054426
G. Heard,0.008159109750756717
J. Lynam,0.010177361803238711
