coach,average_performance_score
A. Gentry,-1.8696638743082683
A. Griffin,6.863895416259766
A. Johnson,0.5841817855834961
B. Bickerstaff,-3.786279042561849
B. Brown,-7.456338609967913
B. Cartwright,-1.5215253829956055
B. Donovan,1.2027295430501301
B. Fitch,-2.9978866577148438
B. Hanzlik,0.7475290298461914
B. Hill,-2.5379695892333984
B. Scott,-5.774235248565674
B. Shaw,-1.3083152770996094
B. Stevens,1.3126978874206543
B. Weiss,0.3603515625
C. Billups,-11.570564905802408
C. Daly,0.6243934631347656
C. Finch,6.506081899007161
C. Ford,5.60359001159668
D. Ainge,-0.733428955078125
D. Blatt,4.436120986938477
D. Casey,1.3398854391915458
D. Chaney,6.390366554260254
D. Collins,-0.7176780700683594
D. Cowens,2.5219650268554688
D. Fisher,-5.821976661682129
D. Fizdale,-2.670958995819092
D. Ham,0.2792224884033203
D. Harris,2.5188980102539062
D. Issel,-5.436313629150391
D. Joerger,1.5485010147094727
D. Nelson,-1.0611224704318576
D. Rajakovic,-3.706329345703125
D. Rivers,0.8195790000583815
D. Walker,0.9950294494628906
E. Jordan,-2.465259313583374
E. Musselman,4.600413004557292
E. Spoelstra,1.7755054235458374
E. Watson,-0.13344955444335938
F. Hoiberg,-3.1668248176574707
F. Johnson,-0.3625783920288086
F. Saunders,0.8393207277570452
F. Vogel,2.055204911665483
G. Irvine,-0.4134941101074219
G. Karl,0.5899005303016076
G. Popovich,-0.16783119201660157
H. Brown,-3.7339534759521484
I. Kokoskov,-0.27193450927734375
I. Thomas,-2.590981674194336
I. Udoka,-0.23064041137695312
J. Beilein,-11.765459060668945
J. Bickerstaff,0.6589447021484375
J. Borrego,1.7480053901672363
J. Boylen,-13.132549285888672
J. Bzdelik,0.29299132029215497
J. Calipari,2.730754852294922
J. Cleamons,-6.37880802154541
J. Davis,4.092236518859863
J. Hornacek,-1.8182281494140624
J. Kidd,-0.39945459365844727
J. Kuester,2.4589176177978516
J. Lucas,1.6137447357177734
J. Mazzulla,3.7457427978515625
J. Mosley,1.0214074452718098
J. O'Brien,2.9248673915863037
J. Sloan,0.27428356806437176
J. Triano,0.7099695205688477
J. Van Gundy,0.6310317516326904
J. Vaughn,-9.438965320587158
K. Atkinson,-0.059784889221191406
K. McHale,-2.1110435485839845
K. O'Neill,4.421886444091797
K. Rambis,1.5153169631958008
K. Smart,1.5831489562988281
L. Bird,-0.6062660217285156
L. Brown,0.693808295510032
L. Drew,1.6713273525238037
L. Frank,-0.5230590105056763
L. Hamilton,-4.128360748291016
L. Hollins,0.5966313680013021
L. Kruger,-5.867689768473308
L. Krystkowiak,-1.4361705780029297
L. Pierce,0.28931554158528644
L. Walton,-0.9012438456217448
L. Wilkens,-5.254214477539063
M. Brown,1.9160083770751952
M. Budenholzer,-0.06277999877929688
M. Carr,0.582179069519043
M. Cheeks,-0.01573944091796875
M. Curry,0.7110214233398438
M. D'Antoni,1.7158103355994592
M. Daigneault,-1.4380688667297363
M. Dunlap,8.57784366607666
M. Dunleavy,-1.1664954291449652
M. Fratello,0.1215070088704427
M. Iavaroni,0.5290422439575195
M. Jackson,2.96199099222819
M. Malone,2.792609995061701
M. Montgomery,-3.485799789428711
M. Williams,2.471639347076416
M. Woodson,0.3769340515136719
N. Bjorkgren,-1.3784103393554688
N. McMillan,-0.8458249709185433
N. Nurse,4.1509215037028
P. Carlesimo,-3.9687867164611816
P. Jackson,3.9128262201944985
P. Riley,-1.5083061854044597
P. Silas,-4.0956581115722654
P. Westphal,1.0548510551452637
Q. Snyder,3.384102715386285
R. Adelman,-0.5861874989100865
R. Ayers,-0.8267402648925781
R. Carlisle,2.251591855829412
R. Pitino,2.612579345703125
R. Saunders,0.8177986145019531
R. Theus,2.8035812377929688
R. Tomjanovich,0.38612111409505206
R. Wittman,-1.2103753771100725
S. Brooks,2.5390952717174184
S. Clifford,1.9547674179077148
S. Kerr,2.128139114379883
S. Lowe,2.136155446370443
S. Mitchell,0.9600776036580404
S. Nash,0.3281110127766927
S. Silas,1.537938117980957
S. Skiles,1.6261555353800456
S. Van Gundy,1.846057158250075
S. Vincent,1.082265853881836
T. Corbin,1.2740332285563152
T. Floyd,1.4590444564819336
T. Jenkins,4.800429916381836
T. Lue,1.2410046713692802
T. Porter,2.1510581970214844
T. Stotts,0.21234973271687826
T. Thibodeau,1.0209948221842449
V. Del Negro,4.9056541442871096
W. Green,2.4551289876302085
W. Hardy,-1.099761962890625
W. Unseld,2.259518305460612
