coach,team,season,predicted_wins,actual_wins,performance_score
Q. Snyder,ATL,2023,35.10484,36,0.8951606750488281
Q. Snyder,UTA,2021,41.752388,49,7.247611999511719
Q. Snyder,UTA,2020,37.55695,52,14.443050384521484
Q. Snyder,UTA,2019,43.389736,44,0.6102638244628906
Q. Snyder,UTA,2018,50.48954,50,-0.48954010009765625
Q. Snyder,UTA,2017,46.576744,48,1.4232559204101562
Q. Snyder,UTA,2016,48.937096,51,2.0629043579101562
Q. Snyder,UTA,2015,38.836365,40,1.16363525390625
Q. Snyder,UTA,2014,34.899418,38,3.1005821228027344
N. McMillan,ATL,2022,42.34178,41,-1.3417816162109375
N. McMillan,ATL,2021,56.471397,43,-13.471397399902344
N. McMillan,IND,2019,45.24472,45,-0.244720458984375
N. McMillan,IND,2018,49.1965,48,-1.1964988708496094
N. McMillan,IND,2017,48.060547,48,-0.060546875
N. McMillan,IND,2016,50.113617,42,-8.113616943359375
N. McMillan,OKC,2004,50.21889,52,1.7811088562011719
N. McMillan,OKC,2003,34.024723,37,2.9752769470214844
N. McMillan,OKC,2002,40.60275,40,-0.6027488708496094
N. McMillan,OKC,2001,46.177036,45,-1.1770362854003906
N. McMillan,POR,2011,35.501797,28,-7.501796722412109
N. McMillan,POR,2010,47.771492,48,0.22850799560546875
N. McMillan,POR,2009,50.10288,50,-0.10287857055664062
N. McMillan,POR,2008,40.806572,54,13.193428039550781
N. McMillan,POR,2007,40.82064,41,0.17935943603515625
N. McMillan,POR,2006,31.395514,32,0.6044864654541016
N. McMillan,POR,2005,20.52817,21,0.4718303680419922
L. Pierce,ATL,2020,40.904022,41,0.095977783203125
L. Pierce,ATL,2019,17.893213,20,2.1067867279052734
L. Pierce,ATL,2018,30.334818,29,-1.334817886352539
M. Budenholzer,ATL,2017,25.292706,24,-1.2927055358886719
M. Budenholzer,ATL,2016,48.646267,43,-5.646266937255859
M. Budenholzer,ATL,2015,47.130424,48,0.8695755004882812
M. Budenholzer,ATL,2014,59.101696,60,0.8983039855957031
M. Budenholzer,ATL,2013,39.73735,38,-1.7373504638671875
M. Budenholzer,MIL,2022,46.50658,58,11.493419647216797
M. Budenholzer,MIL,2021,54.954193,51,-3.954193115234375
M. Budenholzer,MIL,2020,44.263332,46,1.7366676330566406
M. Budenholzer,MIL,2019,58.652836,56,-2.6528358459472656
M. Budenholzer,MIL,2018,60.342415,60,-0.34241485595703125
L. Drew,ATL,2012,39.802853,44,4.197147369384766
L. Drew,ATL,2011,40.71106,40,-0.7110595703125
L. Drew,ATL,2010,44.519638,44,-0.5196380615234375
L. Drew,MIL,2013,11.28114,15,3.7188596725463867
M. Woodson,ATL,2009,52.997566,53,0.00243377685546875
M. Woodson,ATL,2008,47.411346,47,-0.411346435546875
M. Woodson,ATL,2007,35.28758,37,1.7124214172363281
M. Woodson,ATL,2006,30.401888,30,-0.4018878936767578
M. Woodson,ATL,2005,25.284307,26,0.7156925201416016
M. Woodson,ATL,2004,13.224712,13,-0.22471237182617188
M. Woodson,NYK,2013,37.371944,37,-0.3719444274902344
M. Woodson,NYK,2012,52.005184,54,1.9948158264160156
T. Stotts,ATL,2003,28.155882,28,-0.1558818817138672
T. Stotts,MIL,2006,27.459955,28,0.5400447845458984
T. Stotts,MIL,2005,38.902294,40,1.0977058410644531
T. Stotts,POR,2020,42.33308,42,-0.3330802917480469
T. Stotts,POR,2019,43.801517,35,-8.801517486572266
T. Stotts,POR,2018,49.891956,53,3.108043670654297
T. Stotts,POR,2017,45.167347,49,3.832653045654297
T. Stotts,POR,2016,41.446007,41,-0.44600677490234375
T. Stotts,POR,2015,43.544266,44,0.4557342529296875
T. Stotts,POR,2014,51.444496,51,-0.44449615478515625
T. Stotts,POR,2013,51.92591,54,2.0740890502929688
T. Stotts,POR,2012,31.379091,33,1.6209087371826172
L. Kruger,ATL,2002,33.26938,35,1.730621337890625
L. Kruger,ATL,2001,32.00673,33,0.9932708740234375
L. Kruger,ATL,2000,45.32696,25,-20.326961517333984
L. Wilkens,ATL,1997,46.3994,50,3.6006011962890625
L. Wilkens,NYK,2004,30.616104,33,2.3838958740234375
L. Wilkens,TOR,2002,50.469833,24,-26.469833374023438
L. Wilkens,TOR,2001,48.98256,42,-6.9825592041015625
L. Wilkens,TOR,2000,45.803177,47,1.1968231201171875
J. Mazzulla,BOS,2023,59.108894,64,4.891105651855469
