,team,season,wins,losses,win_loss_pct,rank_team,srs,pace,rel_pace,off_rtg,rel_off_rtg,def_rtg,rel_def_rtg,playoffs,coaches,outcome,avg_age,avg_height,avg_weight,fg_per_game,fga_per_game,fg_pct,3p_per_game,3pa_per_game,3p_pct,2p_per_game,2pa_per_game,2p_pct,ft_per_game,fta_per_game,ft_pct,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game,avg_age_yoy,avg_height_yoy,avg_weight_yoy,fg_yoy,fga_yoy,fg_pct_yoy,3p_yoy,3pa_yoy,3p_pct_yoy,2p_yoy,2pa_yoy,2p_pct_yoy,ft_yoy,fta_yoy,ft_pct_yoy,orb_yoy,drb_yoy,trb_yoy,ast_yoy,stl_yoy,blk_yoy,tov_yoy,pf_yoy,pts_yoy,avg_age_rank,avg_height_rank,avg_weight_rank,fg_rank,fga_rank,fg_pct_rank,3p_rank,3pa_rank,3p_pct_rank,2p_rank,2pa_rank,2p_pct_rank,ft_rank,fta_rank,ft_pct_rank,orb_rank,drb_rank,trb_rank,ast_rank,stl_rank,blk_rank,tov_rank,pf_rank,pts_rank,roster_continuity,Odds,wins_ou,Likelihood,year
0,ATL,2023-01-01,36,46,0.439,3rd of 5,-2.38,100.1,1.6,117.2,1.9,119.4,4.1,Missed Playoffs,Q. Snyder,0.0,26.2,6-6,211.0,43.0,92.5,0.465,13.7,37.7,0.364,29.3,54.8,0.535,18.5,23.2,0.797,12.5,32.2,44.7,26.6,7.5,4.5,13.5,18.6,118.3,0.052000000000000005,0.001,0.005,-0.035,0.001,-0.018,0.276,0.23399999999999999,0.012,-0.134,-0.114,-0.012,0.005,0.03,-0.02,0.113,-0.028999999999999998,0.006999999999999999,0.064,0.06,-0.08,0.047,-0.012,-0.001,15.0,22.0,26.0,10.0,2.0,21.0,6.0,7.0,17.0,14.0,12.0,20.0,5.0,7.0,8.0,3.0,22.0,6.0,16.0,16.0,26.0,16.0,15.0,5.0,0.95,8000,42.5,0.0123456790123456,2023
1,ATL,2022-01-01,41,41,0.5,2nd of 5,0.32,100.7,1.6,116.6,1.8,116.3,1.5,Lost E. Conf. 1st Rnd.,N. McMillan,1.0,24.9,6-6,210.0,44.6,92.4,0.483,10.8,30.5,0.352,33.9,61.8,0.548,18.5,22.6,0.818,11.2,33.2,44.4,25.0,7.1,4.9,12.9,18.8,118.4,-0.046,-0.005,-0.005,0.076,0.046,0.013,-0.165,-0.11199999999999999,-0.022,0.184,0.147,0.017,0.019,0.011000000000000001,0.006,0.11800000000000001,-0.023,0.009000000000000001,0.016,-0.012,0.152,0.091,0.005,0.039,22.0,21.0,27.0,1.0,3.0,9.0,26.0,28.0,21.0,1.0,1.0,17.0,16.0,20.0,3.0,9.0,12.0,10.0,18.0,18.0,12.0,3.0,6.0,3.0,0.65,5000,46.5,0.0196078431372549,2022
2,ATL,2021-01-01,43,39,0.524,2nd of 5,1.55,97.7,-0.5,116.5,4.5,114.9,2.9,Lost E. Conf. 1st Rnd.,N. McMillan,1.0,26.1,6-6,211.0,41.5,88.3,0.47,12.9,34.4,0.374,28.6,53.9,0.531,18.1,22.3,0.812,10.0,33.9,44.0,24.6,7.2,4.2,11.9,18.7,113.9,0.027999999999999997,0.004,-0.005,0.017,0.012,0.002,0.036000000000000004,0.031000000000000003,0.002,0.008,0.001,0.004,-0.08,-0.08,-0.0,-0.049,-0.032,-0.036000000000000004,0.02,0.025,-0.107,-0.10400000000000001,-0.032,0.002,13.0,6.0,25.0,11.0,13.0,7.0,11.0,18.0,2.0,14.0,13.0,18.0,3.0,11.0,4.0,17.0,17.0,20.0,15.0,22.0,23.0,1.0,7.0,6.0,0.84,3500,47.5,0.0277777777777777,2021
3,ATL,2020-01-01,41,31,0.569,1st of 5,2.14,97.6,-1.6,115.7,3.4,113.3,1.0,Lost E. Conf. Finals,L. Pierce,3.0,25.4,6-6,212.0,40.8,87.2,0.468,12.4,33.4,0.373,28.4,53.9,0.526,19.7,24.2,0.812,10.6,35.1,45.6,24.1,7.0,4.8,13.2,19.3,113.7,0.054000000000000006,-0.005,-0.005,0.004,-0.037000000000000005,0.019,0.035,-0.075,0.039,-0.009000000000000001,-0.011000000000000001,0.001,0.066,0.037000000000000005,0.022,0.07,0.05,0.055,0.006999999999999999,-0.105,-0.067,-0.18300000000000002,-0.163,0.017,22.0,12.0,26.0,19.0,23.0,17.0,17.0,19.0,12.0,15.0,15.0,19.0,2.0,4.0,5.0,7.0,10.0,5.0,19.0,24.0,17.0,9.0,18.0,13.0,0.48,10000,34.5,0.0099009900990099,2020
4,ATL,2019-01-01,20,47,0.299,5th of 5,-7.71,103.0,2.7,107.2,-3.4,114.8,4.2,Missed Playoffs,L. Pierce,0.0,24.1,6-6,213.0,40.6,90.6,0.449,12.0,36.1,0.333,28.6,54.5,0.525,18.5,23.4,0.79,9.9,33.4,43.3,24.0,7.8,5.1,16.2,23.1,111.8,-0.04,0.004,0.0,-0.018000000000000002,-0.013000000000000001,-0.002,-0.077,-0.025,-0.018,0.01,-0.005,0.008,0.049,-0.001,0.038,-0.153,-0.031000000000000003,-0.062000000000000006,-0.073,-0.052000000000000005,-0.004,-0.049,-0.019,-0.013999999999999999,29.0,7.0,24.0,17.0,7.0,23.0,16.0,8.0,30.0,17.0,18.0,14.0,12.0,15.0,10.0,19.0,23.0,22.0,17.0,13.0,12.0,28.0,30.0,17.0,0.49,25000,33.5,0.0039840637450199,2019
5,ATL,2018-01-01,29,53,0.354,5th of 5,-6.06,103.9,3.9,108.1,-2.3,113.9,3.5,Missed Playoffs,L. Pierce,0.0,25.1,6-6,213.0,41.4,91.8,0.451,13.0,37.0,0.352,28.4,54.8,0.518,17.6,23.4,0.752,11.6,34.5,46.1,25.8,8.2,5.1,17.0,23.6,113.3,-0.012,-0.006,0.005,0.084,0.073,0.005,0.16399999999999998,0.193,-0.009,0.051,0.004,0.023,0.11199999999999999,0.16,-0.032,0.28500000000000003,0.049,0.1,0.08800000000000001,0.057999999999999996,0.204,0.095,0.203,0.09699999999999999,25.0,17.0,27.0,15.0,4.0,21.0,4.0,3.0,16.0,21.0,24.0,15.0,18.0,12.0,21.0,4.0,18.0,12.0,10.0,11.0,14.0,30.0,29.0,12.0,0.45,150000,23.5,0.0006662225183211,2018
6,ATL,2017-01-01,24,58,0.293,5th of 5,-5.3,98.3,1.0,105.0,-3.6,110.6,2.0,Missed Playoffs,M. Budenholzer,0.0,25.4,6-6,212.0,38.2,85.5,0.446,11.2,31.0,0.36,27.0,54.5,0.495,15.8,20.2,0.785,9.1,32.8,41.9,23.7,7.8,4.2,15.6,19.6,103.4,-0.09,0.003,-0.032,0.002,0.013999999999999999,-0.005,0.258,0.19,0.019,-0.076,-0.065,-0.006,-0.125,-0.189,0.057,-0.11800000000000001,-0.036000000000000004,-0.055,0.004,-0.051,-0.12300000000000001,-0.013999999999999999,0.077,0.002,24.0,16.0,30.0,28.0,20.0,25.0,9.0,7.0,15.0,26.0,24.0,22.0,22.0,23.0,7.0,22.0,23.0,25.0,8.0,12.0,23.0,27.0,14.0,25.0,0.51,200000,25.5,0.0004997501249375,2017
7,ATL,2016-01-01,43,39,0.524,2nd of 5,-1.23,97.4,1.0,104.9,-3.9,105.7,-3.1,Lost E. Conf. 1st Rnd.,M. Budenholzer,1.0,27.9,6-6,219.0,38.1,84.4,0.451,8.9,26.1,0.341,29.2,58.3,0.501,18.1,24.9,0.728,10.3,34.1,44.3,23.6,8.2,4.8,15.8,18.2,103.2,-0.011000000000000001,0.003,0.009000000000000001,-0.013999999999999999,-0.001,-0.006,-0.106,-0.081,-0.009,0.017,0.04,-0.011,0.158,0.245,-0.055,0.24,0.008,0.053,-0.077,-0.1,-0.18300000000000002,0.055,-0.05,0.003,6.0,21.0,14.0,23.0,22.0,18.0,20.0,16.0,23.0,18.0,17.0,14.0,13.0,5.0,28.0,14.0,10.0,9.0,10.0,7.0,14.0,28.0,6.0,22.0,0.68,10000,43.5,0.0099009900990099,2016
8,ATL,2015-01-01,48,34,0.585,2nd of 5,3.49,97.1,1.3,105.1,-1.3,101.4,-5.0,Lost E. Conf. Semis,M. Budenholzer,2.0,28.2,6-6,217.0,38.6,84.4,0.458,9.9,28.4,0.35,28.7,56.1,0.512,15.6,20.0,0.783,8.3,33.8,42.1,25.6,9.1,5.9,15.0,19.1,102.8,0.013999999999999999,0.0,-0.005,0.015,0.033,-0.008,-0.004,0.081,-0.03,0.022000000000000002,0.011000000000000001,0.005,-0.05,-0.055999999999999994,0.005,-0.05,0.062000000000000006,0.038,-0.005,0.004,0.27899999999999997,0.051,0.078,0.003,6.0,24.0,21.0,9.0,15.0,11.0,6.0,7.0,15.0,19.0,24.0,7.0,29.0,30.0,8.0,30.0,13.0,24.0,2.0,3.0,5.0,22.0,7.0,12.0,0.87,3600,49.5,0.027027027027027,2015
9,ATL,2014-01-01,60,22,0.732,1st of 5,4.75,93.9,0.0,108.9,3.3,103.1,-2.5,Lost E. Conf. Finals,M. Budenholzer,3.0,27.8,6-6,218.0,38.1,81.7,0.466,10.0,26.2,0.38,28.1,55.5,0.506,16.5,21.2,0.778,8.7,31.8,40.6,25.7,9.1,4.6,14.2,17.8,102.5,0.006999999999999999,0.003,-0.009000000000000001,0.02,0.002,0.008,0.065,0.017,0.017,0.004,-0.005,0.005,-0.031000000000000003,-0.026000000000000002,-0.004,0.003,0.018000000000000002,0.015,0.034,0.094,0.166,-0.067,-0.076,0.015,10.0,25.0,15.0,10.0,27.0,4.0,5.0,7.0,2.0,26.0,28.0,4.0,19.0,24.0,5.0,30.0,22.0,28.0,2.0,5.0,15.0,16.0,1.0,10.0,0.88,12500,42.5,0.0079365079365079,2014
