team,season,avg_age_yoy,avg_height_yoy,avg_weight_yoy,fg_yoy,fga_yoy,fg_pct_yoy,3p_yoy,3pa_yoy,3p_pct_yoy,2p_yoy,2pa_yoy,2p_pct_yoy,ft_yoy,fta_yoy,ft_pct_yoy,orb_yoy,drb_yoy,trb_yoy,ast_yoy,stl_yoy,blk_yoy,tov_yoy,pf_yoy,pts_yoy
ATL,2023-24,5.2%,0.1%,0.5%,-3.5%,0.1%,-.018,27.6%,23.4%,+.012,-13.4%,-11.4%,-.012,0.5%,3.0%,-.020,11.3%,-2.9%,0.7%,6.4%,6.0%,-8.0%,4.7%,-1.2%,-0.1%
ATL,2022-23,-4.6%,-0.5%,-0.5%,7.6%,4.6%,+.013,-16.5%,-11.2%,-.022,18.4%,14.7%,+.017,1.9%,1.1%,+.006,11.8%,-2.3%,0.9%,1.6%,-1.2%,15.2%,9.1%,0.5%,3.9%
ATL,2021-22,2.8%,0.4%,-0.5%,1.7%,1.2%,+.002,3.6%,3.1%,+.002,0.8%,0.1%,+.004,-8.0%,-8.0%,-.000,-4.9%,-3.2%,-3.6%,2.0%,2.5%,-10.7%,-10.4%,-3.2%,0.2%
ATL,2020-21,5.4%,-0.5%,-0.5%,0.4%,-3.7%,+.019,3.5%,-7.5%,+.039,-0.9%,-1.1%,+.001,6.6%,3.7%,+.022,7.0%,5.0%,5.5%,0.7%,-10.5%,-6.7%,-18.3%,-16.3%,1.7%
ATL,2019-20,-4.0%,0.4%,0.0%,-1.8%,-1.3%,-.002,-7.7%,-2.5%,-.018,1.0%,-0.5%,+.008,4.9%,-0.1%,+.038,-15.3%,-3.1%,-6.2%,-7.3%,-5.2%,-0.4%,-4.9%,-1.9%,-1.4%
ATL,2018-19,-1.2%,-0.6%,0.5%,8.4%,7.3%,+.005,16.4%,19.3%,-.009,5.1%,0.4%,+.023,11.2%,16.0%,-.032,28.5%,4.9%,10.0%,8.8%,5.8%,20.4%,9.5%,20.3%,9.7%
ATL,2017-18,-9.0%,0.3%,-3.2%,0.2%,1.4%,-.005,25.8%,19.0%,+.019,-7.6%,-6.5%,-.006,-12.5%,-18.9%,+.057,-11.8%,-3.6%,-5.5%,0.4%,-5.1%,-12.3%,-1.4%,7.7%,0.2%
ATL,2016-17,-1.1%,0.3%,0.9%,-1.4%,-0.1%,-.006,-10.6%,-8.1%,-.009,1.7%,4.0%,-.011,15.8%,24.5%,-.055,24.0%,0.8%,5.3%,-7.7%,-10.0%,-18.3%,5.5%,-5.0%,0.3%
ATL,2015-16,1.4%,0.0%,-0.5%,1.5%,3.3%,-.008,-0.4%,8.1%,-.030,2.2%,1.1%,+.005,-5.0%,-5.6%,+.005,-5.0%,6.2%,3.8%,-0.5%,0.4%,27.9%,5.1%,7.8%,0.3%
ATL,2014-15,0.7%,0.3%,-0.9%,2.0%,0.2%,+.008,6.5%,1.7%,+.017,0.4%,-0.5%,+.005,-3.1%,-2.6%,-.004,0.3%,1.8%,1.5%,3.4%,9.4%,16.6%,-6.7%,-7.6%,1.5%
ATL,2013-14,1.8%,-0.3%,2.3%,-0.7%,0.7%,-.006,8.8%,11.3%,-.008,-3.6%,-3.6%,+.000,20.2%,10.1%,+.066,-5.9%,-1.1%,-2.2%,1.7%,2.4%,-11.7%,2.6%,7.1%,3.1%
ATL,2012-13,-2.9%,-0.6%,0.0%,2.2%,-0.0%,+.010,15.5%,15.0%,+.001,-1.2%,-5.0%,+.019,-9.1%,-5.9%,-.025,-6.4%,1.0%,-0.8%,9.1%,-0.3%,-2.0%,6.5%,0.6%,1.4%
ATL,2011-12,1.8%,-0.4%,-1.8%,1.6%,3.4%,-.008,21.8%,15.8%,+.018,-2.5%,-0.2%,-.012,-5.4%,-0.4%,-.039,6.3%,4.3%,4.8%,2.1%,34.0%,10.4%,2.3%,-5.8%,1.7%
ATL,2010-11,3.4%,-0.1%,0.0%,-6.6%,-5.5%,-.006,-4.2%,-1.9%,-.008,-7.1%,-6.4%,-.003,-7.3%,-9.7%,+.020,-21.4%,0.4%,-5.8%,0.7%,-16.0%,-17.4%,14.1%,-4.8%,-6.6%
ATL,2009-10,2.7%,0.6%,0.0%,7.6%,5.4%,+.010,-12.2%,-10.9%,-.005,12.6%,11.0%,+.007,-5.5%,-8.2%,+.021,11.4%,1.6%,4.2%,8.0%,-1.8%,9.8%,-6.5%,1.4%,3.6%
ATL,2008-09,6.6%,-0.6%,-0.5%,-0.6%,-1.5%,+.004,55.5%,51.5%,+.009,-9.0%,-12.0%,+.016,-10.6%,-6.4%,-.035,-13.7%,-1.7%,-5.2%,-8.1%,0.5%,-16.1%,-14.3%,-3.8%,-0.1%
ATL,2007-08,0.4%,0.4%,1.9%,5.1%,2.8%,+.010,12.6%,3.9%,+.028,4.1%,2.6%,+.007,2.6%,1.1%,+.011,3.3%,6.1%,5.3%,14.7%,-1.5%,0.4%,-6.4%,-15.1%,4.9%
ATL,2006-07,6.2%,-0.6%,-2.3%,-3.9%,-1.9%,-.009,-19.6%,-10.1%,-.039,-1.3%,-0.1%,-.005,1.3%,-0.2%,+.011,-8.7%,3.6%,-0.4%,-3.2%,3.7%,13.2%,1.7%,-4.1%,-3.7%
ATL,2005-06,-12.7%,0.5%,0.5%,0.1%,-2.6%,+.013,39.5%,18.6%,+.055,-4.4%,-6.3%,+.009,16.9%,10.7%,+.040,-2.8%,-4.4%,-3.9%,0.7%,-6.7%,14.5%,-2.7%,2.2%,4.8%
ATL,2004-05,-0.8%,0.4%,2.8%,4.0%,2.2%,+.008,-27.4%,-22.1%,-.023,9.5%,7.9%,+.006,-7.6%,0.9%,-.066,10.4%,-6.9%,-1.9%,-2.1%,0.3%,-15.7%,-2.3%,10.0%,-0.1%
