team,season,wins,losses,win_loss_pct,rank_team,srs,pace,rel_pace,off_rtg,rel_off_rtg,def_rtg,rel_def_rtg,playoffs,coaches
ATL,2024-25,0,0,,,,,,,,,,,Q. Snyder
ATL,2023-24,36,46,.439,3rd of 5,-2.38,100.1,1.6,117.2,1.9,119.4,4.1,,Q. Snyder
ATL,2022-23,41,41,.500,2nd of 5,0.32,100.7,1.6,116.6,1.8,116.3,1.5,Lost E. Conf. 1st Rnd.,N. McMillan
ATL,2021-22,43,39,.524,2nd of 5,1.55,97.7,-0.5,116.5,4.5,114.9,2.9,Lost E. Conf. 1st Rnd.,N. McMillan
ATL,2020-21,41,31,.569,1st of 5,2.14,97.6,-1.6,115.7,3.4,113.3,1.0,Lost E. Conf. Finals,L. Pierce
ATL,2019-20,20,47,.299,5th of 5,-7.71,103.0,2.7,107.2,-3.4,114.8,4.2,,L. Pierce
ATL,2018-19,29,53,.354,5th of 5,-6.06,103.9,3.9,108.1,-2.3,113.9,3.5,,L. Pierce
ATL,2017-18,24,58,.293,5th of 5,-5.30,98.3,1.0,105.0,-3.6,110.6,2.0,,M. Budenholzer
ATL,2016-17,43,39,.524,2nd of 5,-1.23,97.4,1.0,104.9,-3.9,105.7,-3.1,Lost E. Conf. 1st Rnd.,M. Budenholzer
ATL,2015-16,48,34,.585,2nd of 5,3.49,97.1,1.3,105.1,-1.3,101.4,-5.0,Lost E. Conf. Semis,M. Budenholzer
ATL,2014-15,60,22,.732,1st of 5,4.75,93.9,0.0,108.9,3.3,103.1,-2.5,Lost E. Conf. Finals,M. Budenholzer
ATL,2013-14,38,44,.463,4th of 5,-0.88,94.6,0.7,105.9,-0.8,106.4,-0.3,Lost E. Conf. 1st Rnd.,M. Budenholzer
ATL,2012-13,44,38,.537,2nd of 5,-0.08,92.6,0.6,104.8,-1.1,104.4,-1.5,Lost E. Conf. 1st Rnd.,L. Drew
ATL,2011-12,40,26,.606,2nd of 5,2.67,90.2,-1.1,104.9,0.3,101.2,-3.4,Lost E. Conf. 1st Rnd.,L. Drew
ATL,2010-11,44,38,.537,3rd of 5,-1.10,89.3,-2.8,106.1,-1.2,107.0,-0.3,Lost E. Conf. Semis,L. Drew
ATL,2009-10,53,29,.646,2nd of 5,4.44,90.1,-2.6,111.9,4.3,106.7,-0.9,Lost E. Conf. Semis,M. Woodson
ATL,2008-09,47,35,.573,2nd of 5,1.70,89.6,-2.1,109.3,1.0,107.6,-0.7,Lost E. Conf. Semis,M. Woodson
ATL,2007-08,37,45,.451,3rd of 5,-2.23,91.1,-1.3,106.9,-0.6,108.9,1.4,Lost E. Conf. 1st Rnd.,M. Woodson
ATL,2006-07,30,52,.366,5th of 5,-4.86,90.0,-1.9,103.0,-3.5,108.3,1.8,,M. Woodson
ATL,2005-06,26,56,.317,5th of 5,-4.69,90.4,-0.1,106.4,0.2,111.6,5.4,,M. Woodson
ATL,2004-05,13,69,.159,5th of 5,-9.62,91.4,0.5,100.6,-5.5,111.1,5.0,,M. Woodson
ATL,2003-04,28,54,.341,7th of 8,-5.00,90.8,0.7,101.0,-1.9,106.1,3.2,,T. Stotts
ATL,2002-03,35,47,.427,5th of 8,-3.87,91.0,0.0,102.3,-1.3,106.1,2.5,,L. Kruger
ATL,2001-02,33,49,.402,6th of 8,-4.41,91.9,1.2,101.8,-2.7,106.4,1.9,,L. Kruger
ATL,2000-01,25,57,.305,7th of 8,-5.55,91.9,0.6,98.7,-4.3,104.3,1.3,,L. Kruger
ATL,1999-00,28,54,.341,7th of 8,-5.41,91.7,-1.4,102.0,-2.1,107.9,3.8,,L. Wilkens
ATL,1998-99,31,19,.620,2nd of 8,2.82,85.3,-3.6,100.5,-1.7,97.1,-5.1,Lost E. Conf. Semis,L. Wilkens
ATL,1997-98,50,32,.610,4th of 8,3.85,87.7,-2.6,108.2,3.2,104.3,-0.7,Lost E. Conf. 1st Rnd.,L. Wilkens
ATL,1996-97,56,26,.683,2nd of 8,5.52,86.8,-3.3,108.5,1.8,102.3,-4.4,Lost E. Conf. Semis,L. Wilkens
ATL,1995-96,46,36,.561,4th of 8,1.29,89.6,-2.2,109.4,1.8,108.0,0.4,Lost E. Conf. Semis,L. Wilkens
ATL,1994-95,42,40,.512,5th of 7,1.06,89.8,-3.1,106.6,-1.7,105.2,-3.1,Lost E. Conf. 1st Rnd.,L. Wilkens
ATL,1993-94,57,25,.695,1st of 7,4.94,94.2,-0.9,107.2,0.9,101.7,-4.6,Lost E. Conf. Semis,L. Wilkens
ATL,1992-93,43,39,.524,4th of 7,-0.67,97.6,0.8,109.3,1.3,110.2,2.2,Lost E. Conf. 1st Rnd.,B. Weiss
ATL,1991-92,38,44,.463,5th of 7,-1.15,97.8,1.2,107.3,-0.9,108.9,0.7,,B. Weiss
ATL,1990-91,43,39,.524,4th of 7,0.72,98.6,0.8,110.9,3.0,110.1,2.2,Lost E. Conf. 1st Rnd.,B. Weiss
ATL,1989-90,41,41,.500,6th of 7,0.64,95.8,-2.5,113.0,4.9,111.9,3.8,,M. Fratello
